[01:17:49] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:50] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:51] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:52] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:53] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:55] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:56] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:57] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:58] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
[01:17:59] sample conn=enabled/On G2194_PS=enabled/1 VPOS2=/2 VPOS1=/2 VGH1=/1 VGH2=/2 VPDD=/2 VCOM=enabled/1 FPGA_PWR_EN=enabled/1 VGL=/2 VNEG3=/2 VNEG2=/2 VNEG1=/2 VPOS3=/2
